k_all	ksat_all	RCm	RCbeta	soilD_all	error
13.59093	0.00258	1.31406	1.0708	0.80449	22.9062
12.80871	0.00947	0.50202	1.97085	1.12672	24.41317
7.27598	0.00319	1.13476	3.33024	1.16167	20.8728
17.75083	0.00123	0.39344	0.14602	1.04285	21.17229
10.65807	0.00136	0.39504	2.30585	1.29042	18.54339
10.4884	0.00128	0.66072	3.50704	0.51967	14.28323
12.4992	0.00934	0.80457	0.61407	1.31925	28.09701
8.72552	0.0098	1.88759	1.56055	0.85051	22.87335
8.52472	0.00809	1.59936	3.36138	1.49776	28.16323
13.15197	0.00638	0.41928	1.38524	0.8463	20.87843
7.73865	0.00235	0.83969	2.8161	1.06725	19.56404
17.98673	0.00254	1.06069	4.06701	1.23075	21.23098
18.33175	0.00513	1.8516	4.65914	1.00772	22.22126
6.76995	0.00845	1.16001	3.05906	0.77071	20.98391
10.40158	0.00693	1.83711	3.33986	1.30605	25.65497
13.24636	0.00396	1.68086	0.87165	0.59445	19.22753
15.70605	0.00813	0.61465	3.10397	0.80581	21.16638
16.19546	0.0075	0.27063	3.44964	1.49676	26.56765
6.00019	0.00723	1.09489	2.76276	1.43803	28.98821
10.98406	0.00187	0.25111	2.82889	1.05689	14.50306
19.31994	0.00575	1.01388	4.46081	1.00055	21.57692
10.53566	0.002	1.06606	3.01638	1.26041	21.01538
19.16213	0.00704	1.05522	0.24301	1.24332	22.44847
17.76281	0.00619	1.85864	3.71554	1.44348	26.63498
11.7707	0.00613	0.311	2.84987	0.95467	20.25664
13.61788	0.00927	0.5047	4.45705	0.96116	22.28424
9.8713	0.00252	1.88368	2.68533	1.01906	21.56943
15.48753	0.00621	0.41476	4.7413	1.25838	22.60437
